Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DEF_RATING,OPP_DRTG,OPP_STL,OPP_BLK,OPP_REB,TEAM_PACE,GAME_PACE
1610612737,22201216,"APR 09, 2023",ATL @ BOS,L,41,41,0.5,240,44,97,0.454,11,39,0.282,15,19,0.789,16,34,50,27,11,5,9,12,114,115.90077267181782,115.90077267181782,5.0,3.0,47.0,98.36,98.25999999999999
1610612737,22201205,"APR 07, 2023",ATL vs. PHI,L,41,40,0.506,265,51,92,0.554,10,33,0.303,19,28,0.679,4,34,38,32,11,7,20,19,131,108.87632978723406,108.87632978723406,10.0,2.0,52.0,120.32,121.04
1610612737,22201191,"APR 05, 2023",ATL vs. WAS,W,41,39,0.513,240,43,84,0.512,13,30,0.433,35,40,0.875,12,36,48,30,10,5,16,23,134,126.8939393939394,126.8939393939394,10.0,9.0,39.0,105.59999999999998,106.52
1610612737,22201182,"APR 04, 2023",ATL @ CHI,W,40,39,0.506,240,48,86,0.558,10,28,0.357,17,19,0.895,7,41,48,26,5,7,16,18,123,119.0015479876161,119.0015479876161,8.0,6.0,32.0,103.36,101.58
1610612737,22201167,"APR 02, 2023",ATL vs. DAL,W,39,39,0.5,265,51,108,0.472,12,35,0.343,18,22,0.818,16,37,53,28,10,3,9,22,132,119.26273942898445,119.26273942898445,4.0,3.0,47.0,110.68,111.88
1610612737,22201153,"MAR 31, 2023",ATL @ BKN,L,38,39,0.494,240,39,91,0.429,8,37,0.216,21,23,0.913,16,30,46,23,6,3,11,14,107,111.3191843528922,111.3191843528922,9.0,3.0,41.0,96.12,96.42
1610612737,22201131,"MAR 28, 2023",ATL vs. CLE,W,38,38,0.5,240,41,89,0.461,12,27,0.444,26,33,0.788,14,37,51,25,5,3,12,16,120,118.2033096926714,118.2033096926714,5.0,6.0,40.0,101.52,101.09999999999998
1610612737,22201115,"MAR 26, 2023",ATL vs. MEM,L,37,38,0.493,240,45,98,0.459,7,31,0.226,22,26,0.846,14,34,48,27,4,5,10,15,119,112.86039453717756,112.86039453717756,8.0,7.0,39.0,105.44,103.90000000000002
1610612737,22201107,"MAR 25, 2023",ATL vs. IND,W,37,37,0.5,240,53,96,0.552,15,30,0.5,22,25,0.88,15,27,42,33,10,8,11,14,143,138.83495145631068,138.83495145631068,7.0,7.0,32.0,103.0,105.64
1610612737,22201090,"MAR 22, 2023",ATL @ MIN,L,36,37,0.493,240,45,85,0.529,12,26,0.462,22,25,0.88,9,32,41,28,6,6,16,25,124,120.3883495145631,120.3883495145631,7.0,3.0,42.0,103.0,103.88
1610612737,22201078,"MAR 21, 2023",ATL vs. DET,W,36,36,0.5,240,44,95,0.463,14,38,0.368,27,36,0.75,21,40,61,26,5,6,9,20,129,130.51396195872115,130.51396195872115,8.0,2.0,35.0,98.83999999999999,100.2
